changed,reason,original,corrected,confidence,row_index,sample_id,word_agent_input,word_corrected,best_candidate,context_gain,original_context_score,candidate_context_score,margin,candidate_count
False,no_positive_context_gain,no,no,0.0,2,torgo_004574,no,no,,,,,,
False,no_positive_context_gain,knew,knew,0.0,12,torgo_004584,knew,knew,,,,,,
False,no_positive_context_gain,to,to,0.0,27,torgo_004599,grandfather likes to be modern in his language,grandfather likes to be modern in his language,,,,,,
False,no_valid_confusion_candidate,be,be,0.0,27,torgo_004599,grandfather likes to be modern in his language,grandfather likes to be modern in his language,,,,,,
False,rejected_low_confidence,their,their,0.21255184800077195,31,torgo_004603,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,there,0.28636532373199963,0.8597574060687054,1.146122729800705,0.21255184800077195,1.0
False,no_positive_context_gain,two,two,0.0,35,torgo_004607,two,two,,,,,,
False,no_positive_context_gain,write,write,0.0,49,torgo_004621,write,write,,,,,,
False,no_positive_context_gain,to,to,0.0,51,torgo_004623,you wished to know all about my grandfather,you wished to know all about my grandfather,,,,,,
False,no_positive_context_gain,know,know,0.0,51,torgo_004623,you wished to know all about my grandfather,you wished to know all about my grandfather,,,,,,
False,no_positive_context_gain,no,no,0.0,58,torgo_004630,no,no,,,,,,
False,no_positive_context_gain,to,to,0.0,80,torgo_004652,a long flowing beard clings to his chin,a long flowing beard clings to his chin,,,,,,
False,no_positive_context_gain,to,to,0.0,88,torgo_004660,don't ask me to carry an oily rag like that,don't ask me to carry an oily rag like that,,,,,,
False,no_positive_context_gain,knew,knew,0.0,97,torgo_004669,knew,knew,,,,,,
False,no_positive_context_gain,see,see,0.0,98,torgo_004670,see,see,,,,,,
False,no_valid_confusion_candidate,our,our,0.0,100,torgo_004672,twice each day he plays skillfully and with zest upon our small organ,twice each day he plays skillfully and with zest upon our small organ,,,,,,
