speaker,condition,gender,session,sample_id,ground_truth,whisper_raw,character_corrected,word_corrected,word_metric_label,wer_before_word,wer_after_word,cer_before_word,cer_after_word
M01,dysarthric,male,Session2_3,torgo_006837,delta,bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear,bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear,bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear with the bear,METRIC_MISSED_REMAINING_ERROR,64.0,64.0,46.4,46.4
FC03,control,female,Session1,torgo_004642,swarm,yes we are swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm,yes we are swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm,yes we are swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm,METRIC_MISSED_REMAINING_ERROR,63.0,63.0,61.6,61.6
FC03,control,female,Session1,torgo_004603,the,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,METRIC_MISSED_REMAINING_ERROR,38.0,38.0,57.666666666666664,57.666666666666664
M01,dysarthric,male,Session2_3,torgo_007251,lima,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,27.5,27.5
FC03,control,female,Session1,torgo_004763,xxx,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 22 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,37.666666666666664,37.666666666666664
MC02,control,male,Session2,torgo_013193,in,input images story starters jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,input images story starters jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,input images story starters jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,55.0,55.0
M01,dysarthric,male,Session1,torgo_006589,air,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 15 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,37.0,37.0
M01,dysarthric,male,Session2_3,torgo_006970,lima,input images story starters 31 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 31 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,input images story starters 31 jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,27.5,27.5
FC03,control,female,Session2,torgo_005979,gill,jell or earring jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,jell or earring jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,jell or earring jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,METRIC_MISSED_REMAINING_ERROR,33.0,33.0,24.75,24.75
M01,dysarthric,male,Session1,torgo_006624,weed,weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep,weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep,weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep weep,METRIC_MISSED_REMAINING_ERROR,32.0,32.0,31.25,31.25
