speaker,condition,gender,session,sample_id,ground_truth,whisper_raw,character_corrected,character_metric_label,wer_before,wer_after,cer_before,cer_after
M01,dysarthric,male,Session2_3,torgo_006950,before thursday's exam review every formula,before nothing is expected of you every formulae,before nothing is expected of you every formula,METRIC_IMPROVED,1.0,0.8333333333333334,0.5263157894736842,0.5
M01,dysarthric,male,Session2_3,torgo_007178,day after day some new episode is reported,the episode they have new episodes is reported,the episode they have new episode is reported,METRIC_IMPROVED,0.625,0.5,0.45714285714285713,0.42857142857142855
FC03,control,female,Session3,torgo_006387,hall,halll,hall,METRIC_IMPROVED,1.0,0.0,0.25,0.0
MC02,control,male,Session1,torgo_012646,hill,hilll,hill,METRIC_IMPROVED,1.0,0.0,0.25,0.0
FC03,control,female,Session1,torgo_005322,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help college build dormitories,it also provides for funds to clear slums and help colleges build dormitories,METRIC_IMPROVED,0.07692307692307693,0.0,0.015384615384615385,0.0
FC03,control,female,Session1,torgo_004929,it also provides for funds to clear slums and help colleges build dormitories,it also provides for funds to clear slums and help college build dormitories,it also provides for funds to clear slums and help colleges build dormitories,METRIC_IMPROVED,0.07692307692307693,0.0,0.015384615384615385,0.0
M01,dysarthric,male,Session2_3,torgo_006998,six,zitzzitzzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitz,zitzzitzzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitzitz,METRIC_MISSED_REMAINING_ERROR,1.0,1.0,61.666666666666664,61.666666666666664
FC03,control,female,Session1,torgo_004642,swarm,yes we are swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm,yes we are swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm swarm,METRIC_MISSED_REMAINING_ERROR,63.0,63.0,61.6,61.6
FC03,control,female,Session1,torgo_004603,the,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,METRIC_MISSED_REMAINING_ERROR,38.0,38.0,57.666666666666664,57.666666666666664
MC02,control,male,Session2,torgo_013193,in,input images story starters jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,input images story starters jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg jpg j,METRIC_MISSED_REMAINING_ERROR,34.0,34.0,55.0,55.0
