speaker,condition,gender,session,sample_id,ground_truth,whisper_raw,character_corrected,word_corrected,sentence_agent_input,sentence_detector_needs_correction,sentence_detector_reason,sentence_raw_output,sentence_corrected,sentence_verifier_reason,sentence_metric_label,wer_before_sentence,wer_after_sentence,cer_before_sentence,cer_after_sentence
FC03,control,female,Session1,torgo_004603,the,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan japan j,their story begins with a short story about the story of the city of japan j,their story begins with a short story about the story of the city of japan j,True,long_sentence_or_possible_loop,Their story begins with a short story about the story of the city of Japan.,Their story begins with a short story about the story of the city of Japan.,accepted_by_verifier,METRIC_IMPROVED,15.0,14.0,19.333333333333332,19.0
FC03,control,female,Session2,torgo_005723,we just don't,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends,True,long_sentence_or_possible_loop,We just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore.,We just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore we just don't act like we're friends anymore.,accepted_by_verifier,METRIC_IMPROVED,14.666666666666666,9.666666666666666,18.545454545454547,12.454545454545455
FC03,control,female,Session2,torgo_005647,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,True,long_sentence_or_possible_loop,"So if anybody solicits by phone, make sure you mail the dough to the above mentioned address.","So if anybody solicits by phone, make sure you mail the dough to the above mentioned address.",accepted_by_verifier,METRIC_WORSENED,0.0,0.13333333333333333,0.0,0.2711864406779661
FC03,control,female,Session2,torgo_006031,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,so if anybody solicits by phone make sure you mail the dough to the above,True,long_sentence_or_possible_loop,"So if anybody solicits by phone, make sure you mail the dough to the above mentioned address.","So if anybody solicits by phone, make sure you mail the dough to the above mentioned address.",accepted_by_verifier,METRIC_WORSENED,0.0,0.13333333333333333,0.0,0.2711864406779661
MC02,control,male,Session1,torgo_012797,pat,patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe pat,patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe pat,patteatreexpandexe patteatreexpandexe pat,patteatreexpandexe patteatreexpandexe pat,True,adjacent_repetition,Patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe patteatreexpandexe,patteatreexpandexe patteatreexpandexe pat,rejected_too_many_word_changes,METRIC_MISSED_REMAINING_ERROR,2.0,2.0,12.0,12.0
FC03,control,female,Session1,torgo_004861,xxx,day after day some new ex ex experimentalism is a common thing in life,day after day some new ex ex experimentalism is a common thing in life,day after day some new ex ex experimentalism is a common thing in life,day after day some new ex ex experimentalism is a common thing in life,True,adjacent_repetition,Day after day some new ex ex experimentalism is a common thing in life.,Day after day some new ex ex experimentalism is a common thing in life.,unchanged,METRIC_MISSED_REMAINING_ERROR,14.0,14.0,18.0,18.0
FC03,control,female,Session1,torgo_004901,xxx,he further proposed grants of unspecified sums of experimental,he further proposed grants of unspecified sums of experimental,he further proposed grants of unspecified sums of experimental,he further proposed grants of unspecified sums of experimental,False,no_sentence_error_detected,,he further proposed grants of unspecified sums of experimental,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,9.0,9.0,17.666666666666668,17.666666666666668
FC03,control,female,Session1,torgo_005293,xxx,he further proposed grants of unspecified sums of experience,he further proposed grants of unspecified sums of experience,he further proposed grants of unspecified sums of experience,he further proposed grants of unspecified sums of experience,False,no_sentence_error_detected,,he further proposed grants of unspecified sums of experience,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,9.0,9.0,17.0,17.0
M01,dysarthric,male,Session1,torgo_006616,spark,sparkle getting ready to go to bed,sparkle getting ready to go to bed,sparkle getting ready to go to bed,sparkle getting ready to go to bed,False,no_sentence_error_detected,,sparkle getting ready to go to bed,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,7.0,7.0,4.6,4.6
FC03,control,female,Session1,torgo_005253,xxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,False,no_sentence_error_detected,,day after day some new expat xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx,not_sent_to_corrector_no_sentence_error_detected,METRIC_MISSED_REMAINING_ERROR,7.0,7.0,42.333333333333336,42.333333333333336
